         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
simulation.py:185(run_pipeline)                                          <-       1    0.007 2178.940  simulation.py:230(execute_run)
simulation.py:150(state_update_pipeline)                                 <-    1529    0.078 2178.932  simulation.py:185(run_pipeline)
simulation.py:103(partial_state_update)                                  <-   25993    2.936 2178.853  simulation.py:150(state_update_pipeline)
simulation.py:123(generate_record)                                       <-  129965    0.090 1192.041  simulation.py:103(partial_state_update)
simulation.py:124(state_scope_tuner)                                     <-  103972    0.357 1191.951  simulation.py:123(generate_record)
agent_behaviors.py:2(get_agent_actions_next_timestep)                    <-    1529    2.944 1157.063  simulation.py:124(state_scope_tuner)
abstract_agent.py:70(getAction)                                          <-    1529    1.912 1154.115  agent_behaviors.py:2(get_agent_actions_next_timestep)
delegate_front_runner.py:30(generatePlan)                                <-    1529 1151.670 1152.200  abstract_agent.py:70(getAction)
copy.py:128(deepcopy)                                                    <- 19912227   31.242  424.461  copy.py:200(_deepcopy_list)
                                                                          435078908/624016  434.757  961.867  copy.py:226(_deepcopy_dict)
                                                                          10003362/25989   16.291  960.569  copy.py:258(_reconstruct)
                                                                           10003362   14.254   17.405  copy.py:263(<genexpr>)
                                                                                  2    0.000    0.001  depreciationHandler.py:17(sanitize_partial_state_updates)
                                                                              25993    0.070  962.310  simulation.py:103(partial_state_update)
                                                                                  1    0.000    0.000  simulation.py:231(generate_init_sys_metrics)
copy.py:226(_deepcopy_dict)                                              <- 39771571/26028  218.415  962.214  copy.py:128(deepcopy)
copy.py:258(_reconstruct)                                                <- 10003362/25989   33.250  960.789  copy.py:128(deepcopy)
copy.py:200(_deepcopy_list)                                              <- 19038166   42.555  469.341  copy.py:128(deepcopy)
{method 'get' of 'dict' objects}                                         <-      47    0.000    0.000  <frozen importlib._bootstrap>:185(cb)
                                                                                 48    0.000    0.000  <frozen importlib._bootstrap>:1002(_find_and_load)
                                                                                  2    0.000    0.000  __init__.py:27(logger)
                                                                               1527    0.001    0.001  bookkeeping.py:3(set_block_number)
                                                                               1527    0.000    0.000  bookkeeping.py:15(set_epoch)
                                                                                  1    0.000    0.000  config.py:595(_get_registered_option)
                                                                                  1    0.000    0.000  context.py:203(reducer)
                                                                          940138852   47.620   47.620  copy.py:128(deepcopy)
                                                                                 26    0.000    0.000  frame.py:3871(_get_item_cache)
                                                                                  8    0.000    0.000  sre_parse.py:355(_escape)
                                                                              38175    0.010    0.010  utils.py:134(get_shifted_events)
copy.py:242(_keep_alive)                                                 <- 68813099   23.949   36.390  copy.py:128(deepcopy)
{built-in method builtins.id}                                            <-       4    0.000    0.000  api.py:99(_get_distinct_objs)
                                                                          475023855   22.204   22.204  copy.py:128(deepcopy)
                                                                           19038166    1.085    1.085  copy.py:200(_deepcopy_list)
                                                                           39771571    1.800    1.800  copy.py:226(_deepcopy_dict)
                                                                           68839095    3.846    3.846  copy.py:242(_keep_alive)
                                                                           10003362    0.531    0.531  copy.py:258(_reconstruct)
                                                                                  1    0.000    0.000  inspect.py:494(unwrap)
copy.py:263(<genexpr>)                                                   <- 20006724    6.094   23.499  copy.py:258(_reconstruct)
simulation.py:24(get_policy_input)                                       <-   25993    0.474   21.279  simulation.py:103(partial_state_update)
simulation.py:36(get_col_results)                                        <-   25993    0.176   20.253  simulation.py:24(get_policy_input)
simulation.py:42(<lambda>)                                               <-  207944    0.109   20.078  simulation.py:36(get_col_results)
simulation.py:37(policy_scope_tuner)                                     <-  207944    0.503   19.968  simulation.py:42(<lambda>)
delegator_behaviors.py:110(undelegate)                                   <-    1529   18.946   19.649  simulation.py:124(state_scope_tuner)
copy.py:182(_deepcopy_atomic)                                            <- 342793488   19.385   19.385  copy.py:128(deepcopy)
indexer_behaviors.py:22(get_delegation_parameter_events)                 <-    1529   15.174   15.189  simulation.py:37(policy_scope_tuner)
{method 'items' of 'dict' objects}                                       <-       1    0.000    0.000  __init__.py:54(flattenDict)
                                                                                  2    0.000    0.000  concat.py:235(_get_mgr_concatenation_plan)
                                                                           39771571   12.819   12.819  copy.py:226(_deepcopy_dict)
                                                                                  1    0.000    0.000  fromnumeric.py:69(_wrapreduction)
                                                                                  4    0.000    0.000  generic.py:6186(fillna)
                                                                                  1    0.000    0.000  process.py:10(<module>)
                                                                              25993    0.002    0.002  simulation.py:24(get_policy_input)
                                                                              77979    0.006    0.006  simulation.py:71(apply_env_proc)
                                                                                  1    0.000    0.000  sre_compile.py:759(compile)
                                                                                  2    0.000    0.000  weakref.py:287(update)
{method 'append' of 'list' objects}                                      <-     443    0.000    0.000  <frozen importlib._bootstrap_external>:91(_path_join)
                                                                                 10    0.000    0.000  __init__.py:55(tupalize)
                                                                                 16    0.000    0.000  __init__.py:68(execute)
                                                                                  2    0.000    0.000  __init__.py:115(get_final_results)
                                                                                  2    0.000    0.000  __init__.py:838(_addHandlerRef)
                                                                                  2    0.000    0.000  __init__.py:1601(addHandler)
                                                                                  1    0.000    0.000  _pp.py:151(_Worker)
                                                                                  2    0.000    0.000  api.py:99(_get_distinct_objs)
                                                                                 28    0.000    0.000  blocks.py:1995(extend_blocks)
                                                                                  2    0.000    0.000  concat.py:167(concatenate_managers)
                                                                                  2    0.000    0.000  concat.py:481(get_result)
                                                                                 36    0.000    0.000  construction.py:558(_homogenize)
                                                                           19912227    1.239    1.239  copy.py:200(_deepcopy_list)
                                                                           68787103    8.596    8.596  copy.py:242(_keep_alive)
                                                                               1529    0.000    0.000  delegate_front_runner.py:16(inputs)
                                                                                  2    0.000    0.000  delegate_front_runner.py:96(generateOutput)
                                                                                  4    0.000    0.000  index_tricks.py:323(__getitem__)
                                                                                 36    0.000    0.000  managers.py:1804(_form_blocks)
                                                                                  1    0.000    0.000  managers.py:1906(_multi_blockify)
                                                                             235466    0.016    0.016  simulation.py:24(get_policy_input)
                                                                              25993    0.003    0.003  simulation.py:103(partial_state_update)
                                                                               1529    0.000    0.000  simulation.py:185(run_pipeline)
                                                                                 64    0.000    0.000  sre_compile.py:71(_compile)
                                                                                 24    0.000    0.000  sre_compile.py:249(_compile_charset)
                                                                                  8    0.000    0.000  sre_compile.py:276(_optimize_charset)
                                                                                  5    0.000    0.000  sre_compile.py:536(_compile_info)
                                                                                  1    0.000    0.000  sre_compile.py:598(_code)
                                                                                  2    0.000    0.000  sre_parse.py:84(opengroup)
                                                                                 10    0.000    0.000  sre_parse.py:172(append)
                                                                                  3    0.000    0.000  sre_parse.py:435(_parse_sub)
{built-in method builtins.getattr}                                       <-     274    0.000    0.000  <frozen importlib._bootstrap>:486(_init_module_attrs)
                                                                                 37    0.000    0.000  __init__.py:25(<genexpr>)
                                                                                  1    0.000    0.000  _inspect.py:101(get_spec)
                                                                                 77    0.000    0.000  base.py:263(is_dtype)
                                                                                 16    0.000    0.000  base.py:375(__new__)
                                                                                  3    0.000    0.000  base.py:688(<dictcomp>)
                                                                                 68    0.000    0.000  common.py:190(is_sparse)
                                                                                  6    0.000    0.000  common.py:1420(is_extension_array_dtype)
                                                                                  1    0.000    0.000  concat.py:315(__init__)
                                                                                  5    0.000    0.000  construction.py:496(treat_as_nested)
                                                                                 39    0.000    0.000  construction.py:603(_sanitize_ndim)
                                                                                  1    0.000    0.000  contextlib.py:86(__init__)
                                                                           63511772    5.788    5.788  copy.py:128(deepcopy)
                                                                                  1    0.000    0.000  flags.py:96(__getitem__)
                                                                                  1    0.000    0.000  frame.py:3584(__setitem__)
                                                                                  1    0.000    0.000  fromnumeric.py:69(_wrapreduction)
                                                                               1004    0.000    0.000  generic.py:43(_check)
                                                                                 51    0.000    0.000  generic.py:628(_info_axis)
                                                                                  1    0.000    0.000  generic.py:5426(__finalize__)
                                                                                 28    0.000    0.000  managers.py:276(apply)
                                                                                 24    0.000    0.000  managers.py:1015(iset)
                                                                                  1    0.000    0.000  nanops.py:996(reduction)
                                                                                 24    0.000    0.000  series.py:1216(_maybe_update_cacher)
bookkeeping.py:3(set_block_number)                                       <-    1529    4.192    4.199  simulation.py:124(state_scope_tuner)
delegator_behaviors.py:25(delegate)                                      <-    1529    2.979    4.039  simulation.py:124(state_scope_tuner)
{built-in method builtins.print}                                         <-       2    0.001    0.001  __init__.py:68(execute)
                                                                                  2    0.001    0.001  bookkeeping.py:3(set_block_number)
                                                                               1527    0.518    0.518  delegate_front_runner.py:30(generatePlan)
                                                                                606    0.592    0.592  delegator_behaviors.py:25(delegate)
                                                                               1210    0.392    0.392  delegator_behaviors.py:90(process_delegation_event)
                                                                               1095    0.658    0.658  delegator_behaviors.py:110(undelegate)
                                                                                650    0.492    0.492  delegator_behaviors.py:178(withdraw)
                                                                                  4    0.001    0.001  execution.py:4(print_exec_info)
                                                                                  1    0.000    0.000  execution.py:14(single_proc_exec)
                                                                                  4    0.001    0.001  execution.py:112(local_simulations)
                                                                               3058    1.074    1.074  indexer_behaviors.py:6(get_stake_deposited_events)
                                                                                 25    0.010    0.010  indexer_behaviors.py:28(cumulative_deposited_stake)
                                                                                 12    0.003    0.003  indexer_behaviors.py:47(store_delegation_parameters)
                                                                                189    0.066    0.066  revenue.py:43(distribute_revenue_to_indexer)
                                                                                189    0.065    0.065  revenue.py:70(distribute_revenue_to_pool)
                                                                                236    0.069    0.069  revenue.py:112(store_indexing_revenue)
                                                                                 16    0.005    0.005  revenue.py:136(store_query_revenue)
                                                                                 51    0.014    0.014  subgraph.py:16(ROI_indexing)
                                                                                 51    0.013    0.013  subgraph.py:20(ROI_query)
                                                                                102    0.030    0.030  subgraph_behaviors.py:10(create_allocations)
                                                                                 47    0.015    0.015  subgraph_behaviors.py:41(close_allocations)
{built-in method builtins.issubclass}                                    <-       7    0.000    0.000  _dtype.py:321(_name_get)
                                                                                  1    0.000    0.000  base.py:425(find)
                                                                                 57    0.000    0.000  blocks.py:1843(maybe_coerce_values)
                                                                                 55    0.000    0.000  common.py:146(<lambda>)
                                                                                 25    0.000    0.000  common.py:154(<lambda>)
                                                                                  9    0.000    0.000  common.py:220(asarray_tuplesafe)
                                                                                  4    0.000    0.000  common.py:1264(is_bool_dtype)
                                                                                 39    0.000    0.000  construction.py:640(_sanitize_str_dtypes)
                                                                           63001497    3.717    3.717  copy.py:128(deepcopy)
                                                                                  2    0.000    0.000  nanops.py:346(_na_ok_dtype)
{method '__reduce_ex__' of 'object' objects}                             <- 10003362    3.604    3.604  copy.py:128(deepcopy)
copyreg.py:94(__newobj__)                                                <- 10003362    2.426    3.170  copy.py:258(_reconstruct)
indexer_behaviors.py:6(get_stake_deposited_events)                       <-    1529    1.402    2.492  simulation.py:37(policy_scope_tuner)
bookkeeping.py:27(increment_timestep_due_to_agent_event)                 <-    1529    2.013    2.014  simulation.py:124(state_scope_tuner)
{method 'update' of 'dict' objects}                                      <-       1    0.000    0.000  __init__.py:15(<module>)
                                                                                  2    0.000    0.000  base.py:2420(__reduce__)
                                                                           10003362    1.954    1.954  copy.py:258(_reconstruct)
{method '__deepcopy__' of 'decimal.Decimal' objects}                     <- 43505048    1.718    1.718  copy.py:128(deepcopy)
delegator_behaviors.py:178(withdraw)                                     <-    1529    1.075    1.570  simulation.py:124(state_scope_tuner)
{built-in method _pickle.dump}                                           <- 
{built-in method builtins.isinstance}                                    <-     156    0.000    0.000  <frozen importlib._bootstrap>:1033(_handle_fromlist)
                                                                                 44    0.000    0.000  <frozen importlib._bootstrap_external>:645(_compile_bytecode)
                                                                                 44    0.000    0.000  <frozen importlib._bootstrap_external>:1036(get_data)
                                                                                 76    0.000    0.000  <frozen importlib._bootstrap_external>:1374(_get_spec)
                                                                                  8    0.000    0.000  <frozen zipimport>:63(__init__)
                                                                                 10    0.000    0.000  __init__.py:55(tupalize)
                                                                                  5    0.000    0.000  __init__.py:69(flatten)
                                                                                  6    0.000    0.000  __init__.py:193(_checkLevel)
                                                                                  2    0.000    0.000  __init__.py:649(update)
                                                                                  3    0.000    0.000  __init__.py:1284(getLogger)
                                                                                 10    0.000    0.000  __init__.py:1372(_clear_cache)
                                                                                  2    0.000    0.000  __init__.py:2034(getLogger)
                                                                                  1    0.000    0.000  _inspect.py:101(get_spec)
                                                                                 28    0.000    0.000  _validators.py:348(validate_fillna_kwargs)
                                                                                  1    0.000    0.000  array_ops.py:138(_na_arithmetic_op)
                                                                                  4    0.000    0.000  array_ops.py:229(comparison_op)
                                                                                 77    0.000    0.000  base.py:263(is_dtype)
                                                                                 73    0.000    0.000  base.py:375(__new__)
                                                                                  2    0.000    0.000  base.py:425(find)
                                                                                  1    0.000    0.000  base.py:484(<genexpr>)
                                                                                  9    0.000    0.000  base.py:511(_dtype_to_subclass)
                                                                                 15    0.000    0.000  base.py:605(_simple_new)
                                                                                  9    0.000    0.000  base.py:737(__iter__)
                                                                                  8    0.000    0.000  base.py:848(view)
                                                                                  1    0.000    0.000  base.py:2410(_is_multi)
                                                                                  1    0.000    0.000  base.py:3306(_convert_can_do_setop)
                                                                                  3    0.000    0.000  base.py:4652(append)
                                                                                  2    0.000    0.000  base.py:4729(equals)
                                                                                  1    0.000    0.000  base.py:5353(_maybe_promote)
                                                                                 35    0.000    0.000  base.py:6280(ensure_index)
                                                                                 23    0.000    0.000  base.py:6382(maybe_extract_name)
                                                                                 24    0.000    0.000  blocks.py:177(_can_hold_na)
                                                                                114    0.000    0.000  blocks.py:1843(maybe_coerce_values)
                                                                                136    0.000    0.000  blocks.py:1875(get_block_type)
                                                                                 32    0.000    0.000  blocks.py:1916(new_block)
                                                                                 64    0.000    0.000  blocks.py:1973(extract_pandas_array)
                                                                                104    0.000    0.000  blocks.py:1995(extend_blocks)
                                                                                  1    0.000    0.000  cast.py:114(maybe_convert_platform)
                                                                                 56    0.000    0.000  cast.py:1474(maybe_infer_to_datetimelike)
                                                                                 36    0.000    0.000  cast.py:1586(maybe_cast_to_datetime)
                                                                                 25    0.000    0.000  cast.py:2147(can_hold_element)
                                                                                  9    0.000    0.000  common.py:54(new_method)
                                                                                  3    0.000    0.000  common.py:74(get_op_result_name)
                                                                                  1    0.000    0.000  common.py:100(is_bool_indexer)
                                                                                 68    0.000    0.000  common.py:190(is_sparse)
                                                                                 48    0.000    0.000  common.py:220(asarray_tuplesafe)
                                                                                 37    0.000    0.000  common.py:388(is_timedelta64_dtype)
                                                                                 24    0.000    0.000  common.py:422(is_period_dtype)
                                                                                 25    0.000    0.000  common.py:458(is_interval_dtype)
                                                                                 28    0.000    0.000  common.py:496(is_categorical_dtype)
                                                                                 56    0.000    0.000  common.py:574(is_dtype_equal)
                                                                                  3    0.000    0.000  common.py:1035(is_numeric_v_string_like)
                                                                                  5    0.000    0.000  common.py:1141(needs_i8_conversion)
                                                                                  8    0.000    0.000  common.py:1264(is_bool_dtype)
                                                                                 81    0.000    0.000  common.py:1409(is_1d_only_ea_dtype)
                                                                                 12    0.000    0.000  common.py:1420(is_extension_array_dtype)
                                                                                 64    0.000    0.000  common.py:1474(is_ea_or_datetimelike_dtype)
                                                                                 84    0.000    0.000  common.py:1543(get_dtype)
                                                                                 43    0.000    0.000  common.py:1578(_is_dtype_type)
                                                                                 72    0.000    0.000  common.py:1744(pandas_dtype)
                                                                                  2    0.000    0.000  concat.py:120(<genexpr>)
                                                                                  1    0.000    0.000  concat.py:167(concatenate_managers)
                                                                                  7    0.000    0.000  concat.py:315(__init__)
                                                                                  1    0.000    0.000  config.py:198(__setattr__)
                                                                                  1    0.000    0.000  config.py:210(__getattr__)
                                                                                  5    0.000    0.000  construction.py:213(mgr_to_mgr)
                                                                                366    0.000    0.000  construction.py:369(extract_array)
                                                                                 68    0.000    0.000  construction.py:431(ensure_wrapped_if_datetimelike)
                                                                                197    0.000    0.000  construction.py:463(sanitize_array)
                                                                                 10    0.000    0.000  construction.py:467(nested_data_to_arrays)
                                                                                  5    0.000    0.000  construction.py:496(treat_as_nested)
                                                                                 72    0.000    0.000  construction.py:558(_homogenize)
                                                                                 39    0.000    0.000  construction.py:671(_try_cast)
                                                                                 25    0.000    0.000  construction.py:726(to_arrays)
                                                                                  5    0.000    0.000  construction.py:863(<genexpr>)
                                                                                  5    0.000    0.000  construction.py:897(_validate_or_indexify_columns)
                                                                           10003362    0.732    0.732  copy.py:128(deepcopy)
                                                                           10003362    0.803    0.803  copy.py:258(_reconstruct)
                                                                                  2    0.000    0.000  copyreg.py:103(_slotnames)
                                                                                  5    0.000    0.000  dataclasses.py:1047(is_dataclass)
                                                                                  2    0.000    0.000  depreciationHandler.py:17(sanitize_partial_state_updates)
                                                                                  2    0.000    0.000  dispatch.py:11(should_extension_dispatch)
                                                                                 24    0.000    0.000  dtypes.py:950(is_dtype)
                                                                                 25    0.000    0.000  dtypes.py:1201(is_dtype)
                                                                                  1    0.000    0.000  enum.py:977(__and__)
                                                                                 58    0.000    0.000  frame.py:573(__init__)
                                                                                 27    0.000    0.000  frame.py:3418(__getitem__)
                                                                                  1    0.000    0.000  frame.py:3480(_getitem_bool_array)
                                                                                  3    0.000    0.000  frame.py:3584(__setitem__)
                                                                                  1    0.000    0.000  frame.py:4484(_sanitize_column)
                                                                                  2    0.000    0.000  fromnumeric.py:1718(ravel)
                                                                                  1    0.000    0.000  frozen.py:67(__getitem__)
                                                                                 33    0.000    0.000  generic.py:5426(__finalize__)
                                                                                 31    0.000    0.000  generic.py:5535(_protect_consolidate)
                                                                                 32    0.000    0.000  generic.py:6186(fillna)
                                                                                  8    0.000    0.000  index_tricks.py:323(__getitem__)
                                                                                  1    0.000    0.000  indexers.py:249(maybe_convert_indices)
                                                                                  1    0.000    0.000  indexers.py:439(check_array_indexer)
                                                                                  4    0.000    0.000  indexing.py:2323(convert_to_index_sliceable)
                                                                                  1    0.000    0.000  indexing.py:2357(check_bool_indexer)
                                                                                  5    0.000    0.000  inference.py:294(is_named_tuple)
                                                                                  1    0.000    0.000  managers.py:833(take)
                                                                                  8    0.000    0.000  managers.py:877(__init__)
                                                                                 12    0.000    0.000  managers.py:885(<genexpr>)
                                                                                100    0.000    0.000  managers.py:1532(__init__)
                                                                                 10    0.000    0.000  managers.py:1753(create_block_manager_from_arrays)
                                                                                 10    0.000    0.000  managers.py:1761(<genexpr>)
                                                                                 72    0.000    0.000  missing.py:144(_isna)
                                                                                 24    0.000    0.000  missing.py:221(_isna_array)
                                                                                  2    0.000    0.000  missing.py:552(na_value_for_dtype)
                                                                                  1    0.000    0.000  ntpath.py:124(splitdrive)
                                                                                  1    0.000    0.000  ntpath.py:450(normpath)
                                                                                  1    0.000    0.000  pstats.py:136(load_stats)
                                                                                 24    0.000    0.000  putmask.py:29(putmask_inplace)
                                                                                 24    0.000    0.000  putmask.py:185(extract_bool_array)
                                                                                 12    0.000    0.000  range.py:105(__new__)
                                                                                 11    0.000    0.000  range.py:160(_simple_new)
                                                                                  5    0.000    0.000  range.py:543(equals)
                                                                                  2    0.000    0.000  range.py:881(_arith_method)
                                                                                  2    0.000    0.000  re.py:289(_compile)
                                                                                 79    0.000    0.000  series.py:315(__init__)
                                                                                  1    0.000    0.000  series.py:2915(_construct_result)
                                                                                  1    0.000    0.000  series.py:4358(_reduce)
                                                                                  1    0.000    0.000  series.py:5491(_cmp_method)
                                                                                  2    0.000    0.000  sre_compile.py:595(isstring)
                                                                                 78    0.000    0.000  sre_parse.py:164(__getitem__)
                                                                                  1    0.000    0.000  sre_parse.py:224(__init__)
                                                                                  1    0.000    0.000  sre_parse.py:921(fix_flags)
                                                                                  2    0.000    0.000  take.py:54(take_nd)
                                                                                 14    0.000    0.000  typing.py:128(_type_convert)
                                                                                 38    0.000    0.000  typing.py:137(_type_check)
                                                                                 28    0.000    0.000  typing.py:189(_collect_type_vars)
                                                                                 10    0.000    0.000  typing.py:729(__init__)
                                                                                 28    0.000    0.000  typing.py:740(__eq__)
                                                                                  9    0.000    0.000  typing.py:822(__getitem__)
                                                                                  1    0.000    0.000  typing.py:899(__getitem__)
bookkeeping.py:15(set_epoch)                                             <-    1529    1.396    1.398  simulation.py:124(state_scope_tuner)
delegator_behaviors.py:19(withdraw_actions)                              <-    1529    1.328    1.342  simulation.py:37(policy_scope_tuner)
indexer_behaviors.py:28(cumulative_deposited_stake)                      <-    1529    1.236    1.246  simulation.py:124(state_scope_tuner)
{built-in method builtins.hasattr}                                       <-       2    0.000    0.000  <frozen importlib._bootstrap>:415(spec_from_loader)
                                                                                 46    0.000    0.000  <frozen importlib._bootstrap>:558(module_from_spec)
                                                                                 46    0.000    0.000  <frozen importlib._bootstrap>:659(_load_unlocked)
                                                                                156    0.000    0.000  <frozen importlib._bootstrap>:1033(_handle_fromlist)
                                                                                 70    0.000    0.000  <frozen importlib._bootstrap_external>:1374(_get_spec)
                                                                                  1    0.000    0.000  api.py:165(union_indexes)
                                                                                 24    0.000    0.000  base.py:104(_reset_cache)
                                                                                  7    0.000    0.000  base.py:375(__new__)
                                                                                  1    0.000    0.000  base.py:725(is_)
                                                                                 25    0.000    0.000  cast.py:840(maybe_infer_dtype_type)
                                                                                  4    0.000    0.000  common.py:96(_maybe_match_name)
                                                                                  9    0.000    0.000  common.py:220(asarray_tuplesafe)
                                                                                  2    0.000    0.000  common.py:1578(_is_dtype_type)
                                                                                  1    0.000    0.000  connection.py:10(<module>)
                                                                                  1    0.000    0.000  construction.py:778(is_empty_data)
                                                                           10003362    0.821    0.821  copy.py:258(_reconstruct)
                                                                                  5    0.000    0.000  copyreg.py:103(_slotnames)
                                                                                  5    0.000    0.000  dataclasses.py:1047(is_dataclass)
                                                                                  3    0.000    0.000  inference.py:184(is_array_like)
                                                                                  1    0.000    0.000  inspect.py:511(_is_wrapper)
                                                                                  1    0.000    0.000  pstats.py:136(load_stats)
                                                                                  1    0.000    0.000  util.py:108(_platform_supports_abstract_sockets)
                                                                                  1    0.000    0.000  weakref.py:287(update)
{built-in method __new__ of type object at 0x00007FFAFCACE670}           <-       1    0.000    0.000  <string>:1(<lambda>)
                                                                                  1    0.000    0.000  abc.py:105(__new__)
                                                                                 15    0.000    0.000  base.py:605(_simple_new)
                                                                           10003362    0.744    0.744  copyreg.py:94(__newobj__)
                                                                                 11    0.000    0.000  range.py:160(_simple_new)
delegator_behaviors.py:90(process_delegation_event)                      <-     605    0.015    0.407  delegator_behaviors.py:25(delegate)
revenue.py:8(revenue_amt)                                                <-    9174    0.142    0.300  simulation.py:37(policy_scope_tuner)
simulation.py:63(<dictcomp>)                                             <-   25993    0.077    0.280  simulation.py:24(get_policy_input)
utils.py:134(get_shifted_events)                                         <-    1529    0.008    0.014  delegator_behaviors.py:6(delegate_actions)
                                                                               1529    0.009    0.014  delegator_behaviors.py:13(undelegate_actions)
                                                                               1529    0.008    0.014  delegator_behaviors.py:19(withdraw_actions)
                                                                               1529    0.011    0.017  indexer_behaviors.py:6(get_stake_deposited_events)
                                                                               1529    0.009    0.014  indexer_behaviors.py:22(get_delegation_parameter_events)
                                                                              27522    0.104    0.156  revenue.py:8(revenue_amt)
                                                                               1529    0.009    0.014  subgraph_behaviors.py:5(allocation_created_events)
                                                                               1529    0.009    0.014  subgraph_behaviors.py:35(allocation_closed_events)
{built-in method _functools.reduce}                                      <-       3    0.008    0.008  __init__.py:69(flatten)
                                                                              25993    0.092    0.126  simulation.py:24(get_policy_input)
                                                                              73392    0.078    0.099  simulation.py:46(<lambda>)
simulation.py:44(compose)                                                <-   73392    0.080    0.203  simulation.py:63(<dictcomp>)
simulation.py:71(apply_env_proc)                                         <-   25993    0.078    0.157  simulation.py:103(partial_state_update)
